year,state,incidents,CM_Other,CM_Physical_Abuse,CM_Neglect,CM_Sexual_Abuse,IPV_Other,IPV_Physical_Abuse,IPV_Neglect_or_Emotional_Abuse,IPV_Sexual_Abuse,total_population,nibrs_population,pct_population_covered,incidents_normalized,CM_normalized,IPV_normalized
2006,ND,186,0,24,0,20,26,84,0,32,663992,572453,0.8621383992578224,0.00032491750414444503,7.686220528148163e-05,0.0002480552988629634
2007,ND,219,0,13,0,26,25,138,0,17,689399,582314,0.8446690523194841,0.0003760857544211542,6.697417544486308e-05,0.00030911157897629116
2008,ND,292,0,29,0,17,22,189,0,35,693285,605266,0.8730406687004623,0.00048243251727339716,7.599964313211052e-05,0.0004064328741412866
2009,ND,392,0,50,0,30,32,243,0,37,678241,616285,0.9086519393548901,0.0006360693510307731,0.0001298100716389333,0.0005062592793918399
2010,ND,417,0,69,0,18,35,271,0,24,711859,658787,0.9254459099344111,0.000632981525136349,0.0001320608937334829,0.0005009206314028662
2011,ND,508,0,71,0,44,35,332,0,26,724806,670807,0.9254986851654098,0.0007572968081728425,0.0001714353010627498,0.0005858615071100928
2012,ND,529,0,47,0,35,33,368,0,46,728794,689955,0.9467078488571531,0.0007667166699277489,0.00011884833068823329,0.0006478683392395156
2013,ND,571,0,65,0,25,31,411,0,39,755121,722021,0.956165965454543,0.0007908357236146871,0.00012465011405485437,0.0006661856095598328
2014,ND,606,0,61,0,41,31,433,0,40,788748,738176,0.9358831971681704,0.0008209424310733483,0.00013817842899254378,0.0006827640020808046
2015,ND,635,0,67,0,48,26,428,0,66,785675,756927,0.963409806853979,0.0008389184161748755,0.00015193010686631603,0.0006869883093085595
2016,ND,607,0,71,0,27,32,430,0,47,788255,757493,0.9609745577256091,0.0008013275370201441,0.00012937413283027038,0.0006719534041898737
2017,ND,669,0,69,0,28,37,480,0,55,781178,754604,0.9659821449144753,0.0008865577176903382,0.00012854424307318806,0.0007580134746171501
2018,ND,706,0,81,0,29,26,523,0,47,788896,760983,0.964617642883219,0.0009277474004018486,0.00014454987824957983,0.0007831975221522688
2019,ND,737,0,101,0,32,17,532,0,55,792216,762062,0.9619371484544619,0.0009671129120727709,0.00017452648209725718,0.0007925864299755138
2020,ND,806,0,69,0,32,18,625,0,62,798687,765737,0.9587447898864011,0.0010525807163556157,0.00013189907239691956,0.000920681643958696
2000,SC,7905,0,821,0,178,98,6561,0,247,4075438,4007782,0.9833990849572488,0.001972412671148281,0.0002492650548358169,0.0017231476163124641
2001,SC,7529,0,878,0,137,79,6242,0,193,4201688,4055834,0.9652868085398059,0.0018563383018141274,0.00025025679058856946,0.001606081511225558
2002,SC,8288,0,931,0,157,78,6864,0,258,4153020,4101434,0.9875786776851544,0.0020207566426766834,0.0002652730727838117,0.0017554835698928716
2003,SC,8173,0,904,0,160,103,6727,0,279,4168818,4144591,0.9941885205830525,0.001971967800924144,0.00025672014440025564,0.0017152476565238887
2004,SC,7897,0,867,0,168,149,6484,0,229,4218953,4196056,0.9945728241106265,0.0018820053879166532,0.0002466601970993714,0.0016353451908172818
2005,SC,7663,0,859,0,177,143,6226,0,258,4283275,4254373,0.9932523594679304,0.0018012054890344594,0.00024351414415238156,0.001557691344882078
2006,SC,7670,0,871,0,161,107,6283,0,248,4365166,4318330,0.98927051113291,0.001776149576340854,0.00023898127285316314,0.001537168303487691
2007,SC,7778,0,932,0,155,84,6351,0,256,4432638,4407709,0.9943760352187568,0.0017646355510311594,0.0002466133766997776,0.0015180221743313817
2008,SC,7014,0,936,0,171,74,5604,0,229,4511886,4478308,0.9925578793435827,0.0015662165264202462,0.000247191573245967,0.0013190249531742791
2009,SC,7138,0,960,0,193,75,5649,0,261,4605766,4555488,0.98908368336559,0.001566901284780028,0.0002531013142829045,0.0013137999704971235
2010,SC,6766,0,868,0,186,58,5453,0,201,4656886,4614149,0.9908228374067993,0.0014663592354733235,0.000228427820601372,0.0012379314148719515
2011,SC,6714,0,901,0,191,59,5328,0,235,4712996,4670512,0.9909857763511788,0.0014375297611910643,0.00023380734274957435,0.00120372241844149
2012,SC,6237,0,822,0,188,59,4926,0,242,4764331,4716691,0.9900006947460199,0.0013223253335866182,0.0002141331709030759,0.0011081921626835422
2013,SC,5499,0,869,0,168,61,4154,0,247,4841102,4763786,0.9840292561487033,0.001154333968822277,0.00021768400175826538,0.0009366499670640117
2014,SC,5505,0,928,0,203,51,4100,0,223,4953448,4817671,0.9725893963154554,0.0011426683142124069,0.00023476073812429284,0.000907907576088114
2015,SC,5494,0,897,0,212,42,4067,0,276,4996301,4829048,0.9665246349249175,0.0011376983620788198,0.00022965188997914289,0.0009080464720996768
2016,SC,5681,0,907,0,261,41,4204,0,268,4995641,4942318,0.9893260944891756,0.0011494606377007712,0.00023632635536604483,0.0009131342823347264
2017,SC,5954,0,904,0,272,31,4465,0,282,5067266,5019569,0.9905872318524427,0.0011861576163212418,0.0002342830629482332,0.0009518745533730087
2018,SC,6081,0,907,0,284,27,4566,0,297,5107178,4908027,0.9610056669260402,0.0012389907390485016,0.00024266370172780223,0.0009963270373206992
2019,SC,6557,0,948,0,228,38,5026,0,317,5260823,5100816,0.9695851770721045,0.0012854805976141857,0.00023055134707858507,0.0010549292505356005
2020,SC,6528,0,768,0,149,46,5322,0,243,5366615,5139301,0.957642946251967,0.0012702116494052401,0.00017842893420720056,0.0010917827151980396
2008,SD,320,0,17,0,35,26,185,0,57,870399,704777,0.8097171527081258,0.0004540443289153874,7.378220344875046e-05,0.00038026212546663694
2009,SD,297,0,28,0,26,20,161,0,62,851167,740661,0.8701711884976744,0.00040099316691441836,7.290784852989424e-05,0.0003280853183845241
2010,SD,300,0,19,0,34,15,196,0,36,869545,738491,0.8492843958622038,0.0004062337929643015,7.176797009035994e-05,0.0003344658228739416
2011,SD,321,0,17,0,38,28,195,0,43,859047,746684,0.8692004046344379,0.00042990073444723603,7.3659004344542e-05,0.00035624173010269405
2012,SD,476,0,41,0,40,29,311,0,55,868319,769711,0.8864380486894793,0.00061841392418713,0.00010523430222512085,0.0005131796219620091
2013,SD,465,0,42,0,20,14,365,0,24,889111,782947,0.8805953362403569,0.0005939099326008018,7.918799101344024e-05,0.0005147219415873616
2014,SD,542,0,46,0,35,12,406,0,43,890914,791744,0.8886873480493067,0.0006845647077843343,0.00010230579581278797,0.0005822589119715463
2015,SD,660,0,50,0,43,20,500,0,47,904563,797431,0.8815649103489751,0.0008276578161621508,0.00011662451045921214,0.0007110333057029386
2016,SD,669,0,85,0,31,21,500,0,32,915036,802805,0.8773479950515608,0.0008333281431979123,0.0001444933701210132,0.0006888347730768991
2017,SD,644,0,59,0,39,14,481,0,51,919143,822799,0.8951806193377961,0.0007826941938432108,0.00011910563819353208,0.0006635885556496787
2018,SD,614,0,34,0,24,10,509,0,37,925617,834927,0.9020221106569996,0.000735393633215838,6.946715102038861e-05,0.0006659264821954494
2019,SD,673,0,50,0,34,18,537,0,34,954924,848738,0.8888016219091781,0.0007929419915215296,9.897047145291009e-05,0.0006939715200686195
2020,SD,1002,0,81,0,44,23,809,0,45,942669,848707,0.900323443329525,0.0011806194599549668,0.00014728286676084915,0.0010333365931941177
2000,TN,7123,0,693,0,144,137,5931,0,218,6975748,5684989,0.814964789439068,0.0012529487743951659,0.0001472298363286191,0.0011057189380665469
2001,TN,8708,0,844,0,159,155,7313,0,237,5776399,5735728,0.9929591082610464,0.00151820309470742,0.00017486882223145868,0.0013433342724759611
2002,TN,8614,0,904,0,202,166,7070,0,272,5845384,5796512,0.9916392148060761,0.0014860661032013735,0.00019080440099149282,0.0012952617022098808
2003,TN,8487,0,914,0,189,194,6926,0,264,5860993,5841748,0.996716426721547,0.0014528185741664995,0.0001888133483334098,0.0012640052258330898
2004,TN,8710,0,1032,0,206,190,7030,0,252,5930723,5900962,0.9949818934386246,0.0014760305184137773,0.00020979630100990314,0.0012662342174038742
2005,TN,9153,0,1105,0,201,219,7340,0,288,5982851,5962959,0.9966751637304689,0.0015349761754189489,0.00021901877909943703,0.001315957396319512
2006,TN,8946,0,1095,0,194,226,7155,0,276,6066037,6036872,0.9951920833981065,0.0014818932718798743,0.0002135211745420476,0.0012683720973378266
2007,TN,9151,0,1116,0,164,229,7338,0,304,6187477,6156719,0.9950289916229184,0.0014863436190607367,0.00020790294310979598,0.0012784406759509407
2008,TN,8772,0,1106,0,223,210,6948,0,285,6234944,6214888,0.9967832910768726,0.0014114494098686895,0.00021384134356081718,0.0011976080663078723
2009,TN,8570,0,1251,0,161,234,6674,0,250,6312836,6296254,0.9973732883287322,0.0013611267906282053,0.00022426033003115822,0.001136866460597047
2010,TN,8550,0,1185,0,196,250,6613,0,306,6358616,6346105,0.9980324334729445,0.0013472830972699002,0.00021761379617891605,0.0011296693010909842
2011,TN,8790,0,1281,0,218,206,6756,0,329,6426736,6403353,0.9963616056424287,0.0013727183242904148,0.00023409610558718222,0.0011386222187032325
2012,TN,9556,0,1519,0,182,206,7332,0,317,6480488,6456243,0.9962587694013167,0.0014801177712796747,0.00026346591973071644,0.001216651851548958
2013,TN,8721,0,1167,0,232,149,6901,0,272,6545789,6495978,0.9923903749418137,0.0013425230196284531,0.0002153640298658647,0.0011271589897625886
2014,TN,9153,0,1280,0,180,162,7235,0,296,6564098,6549352,0.9977535375005065,0.0013975428408795252,0.0002229228174023934,0.0011746200234771318
2015,TN,9258,0,1236,0,174,162,7317,0,369,6632138,6600299,0.99519928566022,0.0014026637278099067,0.00021362668570014783,0.001189037042109759
2016,TN,9597,0,1336,0,191,146,7529,0,395,6671688,6651194,0.9969282136694642,0.001442898823880344,0.0002295828388105955,0.0012133159850697484
2017,TN,9463,0,1237,0,184,116,7480,0,446,6734436,6716522,0.9973399405681486,0.0014089137205238068,0.0002115678322798615,0.0011973458882439452
2018,TN,9182,0,1253,0,210,108,7210,0,401,6791604,6772845,0.9972379131645485,0.0013557079779619938,0.00021600966801986463,0.0011396983099421292
2019,TN,9014,0,1208,0,195,115,7087,0,409,6854635,6830634,0.9964985735929046,0.001319643242486715,0.00020539821047358122,0.0011142450320131337
2020,TN,9776,0,1231,0,229,98,7814,0,404,6911592,6886834,0.9964179019826401,0.0014195202033329103,0.0002119987210378528,0.0012075214822950574
2020,TX,21014,0,2368,0,722,220,16133,0,1571,30003180,26328281,0.8775163499335737,0.0007981531342665326,0.00011736428975366831,0.0006807888445128644
2020,UT,1820,0,260,0,73,44,1215,0,228,3674826,3103855,0.8446263850315634,0.0005863675977131664,0.00010728593958158483,0.00047908165813158153
2000,VA,3052,0,353,0,135,54,2228,0,282,7593334,6980761,0.9193275312267313,0.0004372016174167831,6.990641851225102e-05,0.000367295198904532
2001,VA,2904,0,316,0,143,65,2104,0,276,7487243,7147779,0.9546610147420085,0.0004062800486696637,6.421575149427536e-05,0.00034206429717538835
2002,VA,2966,0,285,0,160,66,2148,0,307,7412994,7234922,0.9759783968528776,0.0004099560437555512,6.150722841241412e-05,0.0003484488153431371
2003,VA,2887,0,330,0,162,50,2035,0,310,7500129,7316166,0.9754720218812236,0.0003946055898676985,6.724833744887691e-05,0.00032735725241882154
2004,VA,2694,0,296,0,175,49,1923,0,251,7564043,7401012,0.9784465794284882,0.00036400427401009485,6.36399454561079e-05,0.0003003643285539869
2005,VA,2741,0,309,0,133,60,1915,0,324,7586902,7518412,0.9909725998833252,0.00036457166752766406,5.8789010232479946e-05,0.00030578265729518415
2006,VA,2691,0,330,0,173,55,1842,0,291,7674172,7623071,0.993341170878109,0.0003530073378563574,6.598390596125892e-05,0.0002870234318950984
2007,VA,2580,0,341,0,141,47,1731,0,320,7756385,7711608,0.9942270787228844,0.0003345605741370671,6.250317702870789e-05,0.00027205739710835924
2008,VA,2522,0,283,0,168,43,1685,0,343,7792837,7769089,0.9969525860735955,0.0003246197848936986,5.8050564229602725e-05,0.00026656922066409586
2009,VA,2499,0,307,0,146,50,1716,0,280,7892821,7882590,0.9987037587701533,0.0003170277789406781,5.746842091241584e-05,0.0002595593580282623
2010,VA,2488,0,310,0,171,43,1667,0,297,8019821,8001024,0.9976561821018199,0.00031096019709477186,6.011730498496193e-05,0.00025084289210980994
2011,VA,2362,0,305,0,163,45,1517,0,332,8129949,8096604,0.9958984982562621,0.00029172724762134843,5.7802011806431436e-05,0.00023392523581491697
2012,VA,2583,0,447,0,167,36,1645,0,288,8198021,8185867,0.9985174470765567,0.0003155438513721271,7.500732665214326e-05,0.00024053652471998384
2013,VA,2894,0,589,0,151,60,1819,0,275,8268226,8260405,0.9990540897164639,0.0003503460181431782,8.95839852888569e-05,0.0002607620328543213
2014,VA,3006,0,642,0,138,43,1889,0,294,8340068,8325670,0.9982736351789937,0.0003610520234407561,9.368615378702254e-05,0.00026736586965373356
2015,VA,3010,0,536,0,155,41,1954,0,324,8391836,8380866,0.9986927771229085,0.00035915142898120553,8.244971343056911e-05,0.0002767017155506364
2016,VA,3333,0,645,0,184,33,2096,0,375,8426063,8411424,0.9982626524392234,0.00039624681861240144,9.855643943284751e-05,0.0002976903791795539
2017,VA,3322,0,660,0,171,32,2078,0,381,8490110,8467744,0.9973656407278586,0.00039231228530290947,9.813711893037862e-05,0.00029417516637253086
2018,VA,3650,0,631,0,177,35,2416,0,391,8527392,8515274,0.998578932456723,0.0004286415211066608,9.488831480936491e-05,0.00033375320629729587
2019,VA,4032,0,583,0,227,32,2718,0,472,8561864,8534283,0.9967786220383785,0.00047244742176935075,9.491131240902135e-05,0.00037753610936032937
2020,VA,4213,0,628,0,166,29,2966,0,424,8633450,8590814,0.9950615339174953,0.000490407544616843,9.242430344784557e-05,0.0003979832411689975
2000,VT,162,0,15,0,2,13,117,0,15,643372,515166,0.8007280391437613,0.00031446174631089783,3.2999072143736196e-05,0.00028146267416716167
2001,VT,175,0,15,0,11,9,128,0,12,626916,562536,0.8973068162241832,0.00031109120127422954,4.621926418931411e-05,0.00026487193708491543
2002,VT,186,0,11,0,14,21,127,0,13,643491,565746,0.879182459428337,0.0003287694477733824,4.4189441905024515e-05,0.00028458000586835787
2003,VT,249,0,23,0,22,16,170,0,18,634356,569065,0.8970751439254929,0.00043755985695834393,7.907708258283325e-05,0.0003584827743755107
2004,VT,234,0,24,0,11,19,158,0,22,632382,602735,0.9531185264602724,0.00038823031680589314,5.806863712908658e-05,0.0003301616796768066
2005,VT,240,0,24,0,15,9,167,0,25,644422,608184,0.9437666622182359,0.00039461741841284874,6.412533049208792e-05,0.00033049208792076083
2006,VT,257,0,24,0,14,15,185,0,19,642446,623908,0.9711446565158783,0.0004119197061105163,6.0906415689492684e-05,0.0003510132904210236
2007,VT,272,0,34,0,16,11,191,0,20,636935,614721,0.9651235997393769,0.00044247715630342874,8.133771255577733e-05,0.0003611394437476514
2008,VT,296,0,30,0,7,11,228,0,20,643859,617193,0.9585840999349237,0.00047959066288826995,5.994883286103374e-05,0.00041964183002723624
2009,VT,286,0,36,0,14,13,202,0,21,643464,617666,0.9599076249797969,0.0004630334193560921,8.09498984888273e-05,0.0003820835208672648
2010,VT,247,0,17,0,14,10,189,0,17,649837,617320,0.9499612979870337,0.00040011663318862176,5.021706732326832e-05,0.00034989956586535347
2011,VT,297,0,30,0,7,9,227,0,24,662475,623400,0.9410166421374392,0.0004764196342637151,5.935194096888034e-05,0.00041706769329483476
2012,VT,274,0,58,0,18,8,173,0,17,646251,622979,0.9639892240012008,0.00043982220909533065,0.00012199448135490923,0.00031782772774042144
2013,VT,271,0,77,0,10,9,165,0,10,664028,626376,0.9432975717891414,0.00043264748330076506,0.00013889421050614965,0.00029375327279461535
2014,VT,246,0,75,0,6,10,137,0,18,672570,626306,0.9312131079292861,0.00039277924848237124,0.00012932975254907345,0.00026344949593329776
2015,VT,172,0,43,0,9,1,102,0,17,641500,626042,0.9759033515198753,0.0002747419502205922,8.306151983413254e-05,0.0001916804303864597
2016,VT,279,0,25,0,8,4,216,0,26,727124,625702,0.8605162255681287,0.00044589916605668515,5.274076157659717e-05,0.00039315840448008794
2017,VT,342,0,33,0,14,5,261,0,29,636517,623657,0.9797962976636916,0.0005483783554101052,7.536193773179808e-05,0.00047301641767830713
2018,VT,428,0,45,0,34,3,301,0,45,648985,630980,0.9722566777352327,0.0006783099305841707,0.0001252020666265175,0.0005531078639576532
2019,VT,426,0,52,0,10,3,325,0,36,652209,628664,0.9638996088677095,0.000677627476680707,9.862183932911698e-05,0.0005790056373515901
2020,VT,387,0,41,0,14,4,291,0,37,649504,623347,0.9597277306991181,0.0006208420029293475,8.823335958944216e-05,0.0005326086433399054
