,State,"Total New Initial Claims, March 2020 - July   2021","First Payments, March 20 - July 2021","Percent of Initial Claims That Have Been Paid, March 2020 - July 2021","Percent of Initial Claims That Have Been Paid, March-November","First Payments, March","First Payments, April","First Payments, May","First Payments, June","First Payments, July","First Payments, August","First Payments, September","First Payments, October","First Payments, November"
0,Alabama,1155662,403246,0.3489,0.46942998210706166,10150,177498,70384,31012,28401,12088,7156,7855,4388
1,Alaska,167621,85339,0.5091,0.5608963489235657,2039,31379,11031,6549,3688,2319,2324,2609,3391
2,Arizona,1146027,539196,0.4705,0.4471616179671318,3914,162320,59412,69161,26556,38292,39494,12490,13643
3,Arkansas,441191,213764,0.4845,0.5086227599772891,16847,78216,31498,16680,19959,6498,5770,4090,3638
4,California,7371366,5657829,0.7675,0.7604407877670295,215234,2040331,872374,508688,367962,267361,176872,140021,114600
5,Colorado,1437110,667756,0.4647,0.7993893690609036,16497,212161,88883,48225,28991,21171,15778,14417,15211
6,Connecticut,696676,413685,0.5938,0.5788696873433166,29040,80453,67307,44814,39006,20940,10131,8342,7651
7,Delaware,260605,83706,0.3212,0.4551867054557048,10165,29420,12316,5906,3861,2518,1530,1542,1274
8,District of Columbia,210164,104412,0.4968,0.5679839569097304,3120,40353,13528,7822,5806,4057,3569,2987,2169
9,Florida,4092641,1836241,0.4487,0.5070336179744169,8980,295866,515579,315662,196428,100086,69525,53714,33592
10,Georgia,3848027,1149450,0.2987,0.3141753139173323,63320,447682,207520,112472,84596,27625,17844,16809,12220
11,Hawaii,342075,213117,0.623,0.6660288495021157,3417,57892,63579,25557,13871,9110,7960,4266,3702
12,Idaho,264540,108154,0.4088,0.47458422987578686,11457,34357,13969,12575,4015,3331,1860,1796,2549
13,Illinois,3425287,1559033,0.4552,0.6451900209878603,48850,437295,219574,124519,85847,52467,41335,53344,79877
14,Indiana,2018436,670040,0.332,0.4469559765271651,23744,262912,118127,62131,35014,21004,14741,15895,18855
15,Iowa,507073,344746,0.6799,0.7052397876488989,15846,135641,54312,24716,17094,9258,7880,5384,6384
16,Kansas,988157,472193,0.4779,0.6514818191530298,17560,88537,88537,21882,24895,11275,14209,20018,27140
17,Kentucky,821192,390513,0.4755,0.5588179333100517,17875,208678,66741,20332,12735,8569,4661,4390,4055
18,Louisiana,1231436,533123,0.4329,0.4806118903290931,46968,221108,73745,36326,38644,20076,11549,12188,5516
19,Maine,210466,148560,0.7059,0.7262021646976561,17850,48098,26954,13904,8055,4047,2083,1684,1954
20,Maryland,1868894,460092,0.2462,0.4220023978877905,20635,143915,49175,123570,21816,9925,5257,11753,5706
21,Massachusetts,1729386,1032520,0.597,0.6750929194740497,70296,383921,155950,92324,52849,26494,28003,36451,51619
22,Michigan,2207666,1407111,0.6374,0.6639611378915297,28890,588342,285260,96646,79021,45571,25220,19937,24128
23,Minnesota,1019098,103488,0.1015,0.016467058069691967,6462,3186,988,546,481,298,219,196,268
24,Mississippi,534258,280628,0.5253,0.5673124504859061,13374,91489,60675,33742,24293,9235,4763,4530,2089
25,Missouri,997752,424416,0.4254,0.43094105570760377,20527,171944,55626,29997,21041,13476,11515,7095,5896
26,Montana,143714,20971,0.1459,0.0646318068401717,1678,1311,629,730,633,1124,359,341,927
27,Nebraska,242613,96776,0.3989,0.41986589797885665,3939,21400,30316,10803,3972,2539,2257,1723,1669
28,Nevada,830797,550719,0.6629,0.6678287178161749,63192,171822,75542,39298,34857,21480,12491,13068,7511
29,New Hampshire,299869,146517,0.4886,0.5648529923451635,13813,58333,31013,13438,5821,3081,2055,1226,1091
30,New Jersey,2006410,930202,0.4636,0.45380972803028463,91605,320523,118392,50708,63857,32510,25187,20352,13880
31,New Mexico,351749,183022,0.5203,0.6142818736253385,8082,64270,27130,14185,9820,7930,4589,4157,4927
32,New York,6642007,2804156,0.4222,0.4819140950374943,226106,886925,421141,239187,151914,82809,71960,45508,41143
33,North Carolina,1856566,795763,0.4286,0.49676551278242786,20052,341830,142957,86823,47786,29900,17643,13696,10023
34,North Dakota,115243,81943,0.711,0.7522225908577148,3678,35675,10931,6630,3233,1423,1274,1437,2604
35,Ohio,2828668,1036141,0.3663,0.5604541611305713,111262,392621,166334,63862,36749,24643,19187,16793,17669
36,Oklahoma,1175315,438436,0.373,0.3871821113519061,21261,113553,90418,69352,13039,8496,6291,5700,5000
37,Oregon,706237,506739,0.7175,0.7230515199479598,21085,139256,62553,39559,36775,23400,21661,13200,33769
38,Pennsylvania,2479835,1556805,0.6278,0.6928176182500322,21152,668855,205990,102722,84880,55071,34486,28491,28309
39,Puerto Rico,543065,311623,0.5738,0.5742829175559572,3255,86016,56703,45970,32730,18421,9649,6225,4454
40,Rhode Island,444839,208514,0.4687,0.6531484856964939,30611,57364,12222,7032,6603,5412,2621,2548,5123
41,South Carolina,844466,406057,0.4808,0.49846216820873296,4399,201522,65779,29045,21345,12165,7946,5316,5626
42,South Dakota,62347,41080,0.6589,0.6772350372265723,802,17816,6957,4629,1767,1295,712,537,687
43,Tennessee,1004640,562344,0.5597,0.6102228323867024,25132,211730,104662,33234,16981,52154,12132,6991,5251
44,Texas,4818152,2296017,0.4765,0.5526647938365539,72051,702478,460150,222978,167034,113523,98049,63358,46931
45,Utah,323204,167820,0.5192,0.601396386232274,6942,63202,31213,14683,8247,4739,3105,3196,3266
46,Vermont,153248,91924,0.5998,0.6513149889620887,4686,46715,10525,4324,3393,1750,1275,1015,1256
47,Virgin Islands,12252,8935,0.7293,0.7735195469291252,148,883,2065,1760,665,478,418,310,307
48,Virginia,1532683,1387240,0.9051,1.044184459718085,111068,597986,202058,102836,79494,36820,23416,19342,19116
49,Washington,1725754,662714,0.384,0.39430460140953516,56552,257741,78109,41110,47276,17394,12704,10252,13251
50,West Virginia,304188,172443,0.5669,0.7096269732518987,12764,73127,23149,10536,6294,4296,3332,2823,2988
51,Wisconsin,928108,418668,0.4511,0.4794971808533014,29272,183828,35508,19034,15252,11677,9981,10156,15854
52,Wyoming,71089,37005,0.5205,0.54053179234775,1921,11501,5027,3448,2347,1247,1010,834,1054
